[CONFIG] STEP6.1
STEP1_CSV:             /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step1/pdb/pdb_assemblies.csv | exists=True
STEP5_REMAP_CSV:       /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/pdb_assemblies_remapped.csv | exists=True
STEP5_CHAIN_MAP_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/chain_map.csv | exists=True
STEP5_PDB_DIR:         /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/1_mhc_configured | exists=True
ORIGINAL_LIST_CSV:     /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_list.csv | exists=True
ORIGINAL_CONTACTS_CSV: /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_mhc_contacts.csv | exists=True
ORIGINAL_BINDER_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_binder_contacts.csv | exists=True
MANUAL_LIGANDS_CSV:    /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/manual_problematic_ligands.csv | exists=True
POSSIBLE_LIGANDS_CSV:  /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/possible_ligands.csv | exists=True
Output dir:            /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/2_trimmed_mhc

[INIT] problematic_list_current.csv
[INIT] problematic_mhc_contacts_current.csv
[INIT] problematic_binder_contacts_current.csv
[CSV] remapped=      1173
[CSV] duplicate_pdbs= 9
[CSV] problematic=   165
[CSV] mhc_contacts=  164
[CSV] binder_auto=   5
[CSV] manual_rows=   22

[START] STEP6.1
[SAVED] 8RLV: non-problematic trimmed; trimmed_removed=134; output=8rlv_trimmed_mhc.pdb
[SAVED] 4U1K: non-problematic trimmed; trimmed_removed=311; output=4u1k_trimmed_mhc.pdb
[SAVED] 1JGE: non-problematic trimmed; trimmed_removed=427; output=1jge_trimmed_mhc.pdb
[SAVED] 8ESA: non-problematic trimmed; trimmed_removed=93; output=8esa_trimmed_mhc.pdb
[SKIPPED] 8T7R: already present in 2_trimmed_mhc
[SKIPPED] 8T7R: already present in 2_trimmed_mhc
[SAVED] 5IB3: non-problematic trimmed; trimmed_removed=309; output=5ib3_trimmed_mhc.pdb
[SAVED] 1UXS: non-problematic trimmed; trimmed_removed=590; output=1uxs_trimmed_mhc.pdb
[SAVED] 2HLA: non-problematic trimmed; trimmed_removed=96; output=2hla_trimmed_mhc.pdb
[SAVED] 8EC5: non-problematic trimmed; trimmed_removed=345; output=8ec5_trimmed_mhc.pdb
[SAVED] 8VRB: non-problematic trimmed; trimmed_removed=94; output=8vrb_trimmed_mhc.pdb
[SAVED] 1QQD: non-problematic trimmed; trimmed_removed=116; output=1qqd_trimmed_mhc.pdb
[SAVED] 7DUU: non-problematic trimmed; trimmed_removed=160; output=7duu_trimmed_mhc.pdb
[SAVED] 1EFX: non-problematic trimmed; trimmed_removed=174; output=1efx_trimmed_mhc.pdb
[SAVED] 8TMU: non-problematic trimmed; trimmed_removed=128; output=8tmu_trimmed_mhc.pdb
[SAVED] 5XS3: non-problematic trimmed; trimmed_removed=180; output=5xs3_trimmed_mhc.pdb
[DUPLICATES] 1IM9: removed_chains=['E']
[SAVED] 1IM9: non-problematic trimmed; trimmed_removed=172; output=1im9_trimmed_mhc.pdb
[SKIPPED] 1IM9: already present in 2_trimmed_mhc
[SAVED] 5E6I: non-problematic trimmed; trimmed_removed=81; output=5e6i_trimmed_mhc.pdb
[MHC_MANUAL] 9C3E: moved ligand groups to chains=['D']
[SAVED] 9C3E: action=move; new_ligand_chains=['D']; moved=9; trimmed_removed=156; output=9c3e_trimmed_mhc.pdb
[MHC_AUTO] 6PUI: [266] -> chain E
[SAVED] 6PUI: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=414; output=6pui_trimmed_mhc.pdb
[MHC_AUTO] 5U1R: [268] -> chain E
[SAVED] 5U1R: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=114; output=5u1r_trimmed_mhc.pdb
[SAVED] 5U72: non-problematic trimmed; trimmed_removed=151; output=5u72_trimmed_mhc.pdb
[MHC_AUTO] 6PUL: [268] -> chain E
[SAVED] 6PUL: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=396; output=6pul_trimmed_mhc.pdb
[MHC_AUTO] 5U16: [266] -> chain E
[SAVED] 5U16: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=320; output=5u16_trimmed_mhc.pdb
[MHC_AUTO] 6PUD: [266] -> chain E
[SAVED] 6PUD: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=455; output=6pud_trimmed_mhc.pdb
[MHC_AUTO] 6XQP: [244] -> chain E
[SAVED] 6XQP: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=123; output=6xqp_trimmed_mhc.pdb
[MHC_AUTO] 7ZT8: [258] -> chain E
[SAVED] 7ZT8: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=135; output=7zt8_trimmed_mhc.pdb
[MHC_AUTO] 9BTX: [267] -> chain E
[SAVED] 9BTX: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=246; output=9btx_trimmed_mhc.pdb
[MHC_AUTO] 5U6Q: [262] -> chain E
[SAVED] 5U6Q: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=343; output=5u6q_trimmed_mhc.pdb
[MHC_AUTO] 4NQD: [261] -> chain C
[SAVED] 4NQD: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=196; output=4nqd_trimmed_mhc.pdb
[MHC_AUTO] 6PUM: [268] -> chain E
[SAVED] 6PUM: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=362; output=6pum_trimmed_mhc.pdb
[MHC_AUTO] 4L4V: [263] -> chain E
[SAVED] 4L4V: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=287; output=4l4v_trimmed_mhc.pdb
[MHC_AUTO] 6PUC: [266] -> chain E
[SAVED] 6PUC: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=391; output=6puc_trimmed_mhc.pdb
[MHC_AUTO] 6PUJ: [268] -> chain E
[SAVED] 6PUJ: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=360; output=6puj_trimmed_mhc.pdb
[MHC_AUTO] 6W9U: [266] -> chain E
[SAVED] 6W9U: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=363; output=6w9u_trimmed_mhc.pdb
[MHC_AUTO] 6PUH: [266] -> chain E
[SAVED] 6PUH: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=468; output=6puh_trimmed_mhc.pdb
[MHC_AUTO] 9CGR: [267] -> chain E
[SAVED] 9CGR: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=162; output=9cgr_trimmed_mhc.pdb
[MHC_AUTO] 8Y6X: [266] -> chain E
[SAVED] 8Y6X: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=89; output=8y6x_trimmed_mhc.pdb
[MHC_AUTO] 4PJF: [264] -> chain E
[SAVED] 4PJF: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=248; output=4pjf_trimmed_mhc.pdb
[MHC_AUTO] 5D7I: [265] -> chain E
[SAVED] 5D7I: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=334; output=5d7i_trimmed_mhc.pdb
[MHC_AUTO] 6PVD: [266] -> chain E
[SAVED] 6PVD: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=290; output=6pvd_trimmed_mhc.pdb
[MHC_AUTO] 6PVC: [267] -> chain E
[SAVED] 6PVC: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=328; output=6pvc_trimmed_mhc.pdb
[MHC_AUTO] 6PUF: [266] -> chain E
[SAVED] 6PUF: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=425; output=6puf_trimmed_mhc.pdb
[MHC_AUTO] 4PJI: [263] -> chain E
[SAVED] 4PJI: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=184; output=4pji_trimmed_mhc.pdb
[MHC_AUTO] 4NQE: [265] -> chain E
[SAVED] 4NQE: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=247; output=4nqe_trimmed_mhc.pdb
[MHC_AUTO] 4NQC: [256] -> chain C
[SAVED] 4NQC: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=256; output=4nqc_trimmed_mhc.pdb
[MHC_AUTO] 5U2V: [266] -> chain E
[SAVED] 5U2V: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=273; output=5u2v_trimmed_mhc.pdb
[MHC_AUTO] 4PJ5: [264] -> chain E
[SAVED] 4PJ5: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=324; output=4pj5_trimmed_mhc.pdb
[MHC_AUTO] 9BTY: [265] -> chain E
[SAVED] 9BTY: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=140; output=9bty_trimmed_mhc.pdb
[MHC_AUTO] 6PUG: [266] -> chain E
[SAVED] 6PUG: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=462; output=6pug_trimmed_mhc.pdb
[MHC_AUTO] 6PUE: [267] -> chain E
[SAVED] 6PUE: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=349; output=6pue_trimmed_mhc.pdb
[MHC_AUTO] 5U17: [265] -> chain E
[SAVED] 5U17: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=247; output=5u17_trimmed_mhc.pdb
[SAVED] 7ZT3: non-problematic trimmed; trimmed_removed=171; output=7zt3_trimmed_mhc.pdb
[MHC_AUTO] 4PJE: [267] -> chain E
[SAVED] 4PJE: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=359; output=4pje_trimmed_mhc.pdb
[MHC_AUTO] 4PJ8: [261] -> chain E
[SAVED] 4PJ8: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=87; output=4pj8_trimmed_mhc.pdb
[MHC_AUTO] 5D7L: [263] -> chain C
[SAVED] 5D7L: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=85; output=5d7l_trimmed_mhc.pdb
[MHC_AUTO] 6PUK: [268] -> chain E
[SAVED] 6PUK: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=303; output=6puk_trimmed_mhc.pdb
[SAVED] 6W9V: non-problematic trimmed; trimmed_removed=340; output=6w9v_trimmed_mhc.pdb
[MHC_AUTO] 7ZT2: [263] -> chain E
[SAVED] 7ZT2: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=100; output=7zt2_trimmed_mhc.pdb
[MHC_AUTO] 4PJ9: [263] -> chain E
[SAVED] 4PJ9: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=409; output=4pj9_trimmed_mhc.pdb
[MHC_AUTO] 9BTZ: [266] -> chain E
[SAVED] 9BTZ: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=131; output=9btz_trimmed_mhc.pdb
[MHC_AUTO] 4PJG: [265] -> chain E
[SAVED] 4PJG: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=234; output=4pjg_trimmed_mhc.pdb
[MHC_AUTO] 4PJC: [265] -> chain E
[SAVED] 4PJC: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=262; output=4pjc_trimmed_mhc.pdb
[MHC_AUTO] 7UFJ: [268] -> chain E
[SAVED] 7UFJ: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=174; output=7ufj_trimmed_mhc.pdb
[MHC_AUTO] 5D7J: [266] -> chain E
[SAVED] 5D7J: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=276; output=5d7j_trimmed_mhc.pdb
[MHC_AUTO] 4PJ7: [265] -> chain E
[SAVED] 4PJ7: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=211; output=4pj7_trimmed_mhc.pdb
[MHC_AUTO] 9BU0: [263] -> chain E
[SAVED] 9BU0: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=115; output=9bu0_trimmed_mhc.pdb
[MHC_AUTO] 4PJH: [265] -> chain E
[SAVED] 4PJH: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=394; output=4pjh_trimmed_mhc.pdb
[MHC_AUTO] 5D5M: [265] -> chain C
[SAVED] 5D5M: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=241; output=5d5m_trimmed_mhc.pdb
[MHC_AUTO] 8BP6: [368] -> chain B
[SAVED] 8BP6: action=auto_non_aminoacid_only; new_ligand_chains=['B']; moved=1; trimmed_removed=194; output=8bp6_trimmed_mhc.pdb
[MHC_AUTO] 7ZT5: [269] -> chain E
[SAVED] 7ZT5: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=117; output=7zt5_trimmed_mhc.pdb
[MHC_AUTO] 4PJD: [265] -> chain E
[SAVED] 4PJD: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=209; output=4pjd_trimmed_mhc.pdb
[MHC_AUTO] 7ZT7: [268] -> chain E
[SAVED] 7ZT7: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=193; output=7zt7_trimmed_mhc.pdb
[MHC_AUTO] 4PJX: [263] -> chain E
[SAVED] 4PJX: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=290; output=4pjx_trimmed_mhc.pdb
[MHC_AUTO] 7ZT4: [265] -> chain E
[SAVED] 7ZT4: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=158; output=7zt4_trimmed_mhc.pdb
[MHC_AUTO] 4PJA: [265] -> chain E
[SAVED] 4PJA: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=222; output=4pja_trimmed_mhc.pdb
[MHC_AUTO] 7LLI: [264] -> chain E
[SAVED] 7LLI: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=87; output=7lli_trimmed_mhc.pdb
[MHC_AUTO] 4LCW: [266] -> chain E
[SAVED] 4LCW: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=156; output=4lcw_trimmed_mhc.pdb
[MHC_AUTO] 4L4T: [265] -> chain E
[SAVED] 4L4T: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=313; output=4l4t_trimmed_mhc.pdb
[MHC_AUTO] 7UMG: [267] -> chain E
[SAVED] 7UMG: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=169; output=7umg_trimmed_mhc.pdb
[MHC_AUTO] 4GUP: [266] -> chain C
[SAVED] 4GUP: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=92; output=4gup_trimmed_mhc.pdb
[MHC_AUTO] 7ZT9: [267] -> chain E
[SAVED] 7ZT9: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=133; output=7zt9_trimmed_mhc.pdb
[MHC_AUTO] 4PJB: [265] -> chain E
[SAVED] 4PJB: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=187; output=4pjb_trimmed_mhc.pdb
[MHC_AUTO] 7LLJ: [264] -> chain E
[SAVED] 7LLJ: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=87; output=7llj_trimmed_mhc.pdb
[SAVED] 1T7X: non-problematic trimmed; trimmed_removed=99; output=1t7x_trimmed_mhc.pdb
[MHC_AUTO] 6MWR: [266] -> chain E
[SAVED] 6MWR: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=92; output=6mwr_trimmed_mhc.pdb
[SAVED] 1T7Y: non-problematic trimmed; trimmed_removed=100; output=1t7y_trimmed_mhc.pdb
[MHC_AUTO] 3ES6: [279] -> chain C
[SAVED] 3ES6: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=104; output=3es6_trimmed_mhc.pdb
[SAVED] 1T7Z: non-problematic trimmed; trimmed_removed=100; output=1t7z_trimmed_mhc.pdb
[SAVED] 1T80: non-problematic trimmed; trimmed_removed=283; output=1t80_trimmed_mhc.pdb
[SAVED] 1DE4: non-problematic trimmed; trimmed_removed=94; output=1de4_trimmed_mhc.pdb
[MHC_AUTO] 1T7V: [275] -> chain C
[SAVED] 1T7V: action=auto_non_aminoacid_only; new_ligand_chains=['C']; moved=1; trimmed_removed=285; output=1t7v_trimmed_mhc.pdb
[SAVED] 1T7W: non-problematic trimmed; trimmed_removed=100; output=1t7w_trimmed_mhc.pdb
[SAVED] 6R2U: non-problematic trimmed; trimmed_removed=134; output=6r2u_trimmed_mhc.pdb
[SAVED] 1A6Z: non-problematic trimmed; trimmed_removed=104; output=1a6z_trimmed_mhc.pdb
[SAVED] 1ZAG: non-problematic trimmed; trimmed_removed=103; output=1zag_trimmed_mhc.pdb
[SAVED] 6NHA: non-problematic trimmed; trimmed_removed=130; output=6nha_trimmed_mhc.pdb
[SAVED] 6C98: non-problematic trimmed; trimmed_removed=228; output=6c98_trimmed_mhc.pdb
[SAVED] 7Q15: non-problematic trimmed; trimmed_removed=97; output=7q15_trimmed_mhc.pdb
[SAVED] 6WNA: non-problematic trimmed; trimmed_removed=132; output=6wna_trimmed_mhc.pdb
[SAVED] 6C97: non-problematic trimmed; trimmed_removed=301; output=6c97_trimmed_mhc.pdb
[SAVED] 6WOL: non-problematic trimmed; trimmed_removed=115; output=6wol_trimmed_mhc.pdb
[SAVED] 2WY3: non-problematic trimmed; trimmed_removed=174; output=2wy3_trimmed_mhc.pdb
[SAVED] 6QIO: non-problematic trimmed; trimmed_removed=321; output=6qio_trimmed_mhc.pdb
[SAVED] 5BJT: non-problematic trimmed; trimmed_removed=93; output=5bjt_trimmed_mhc.pdb
[SAVED] 6C99: non-problematic trimmed; trimmed_removed=251; output=6c99_trimmed_mhc.pdb
[SAVED] 4N0F: non-problematic trimmed; trimmed_removed=94; output=4n0f_trimmed_mhc.pdb
[SAVED] 4N0U: non-problematic trimmed; trimmed_removed=94; output=4n0u_trimmed_mhc.pdb
[SAVED] 6FGB: non-problematic trimmed; trimmed_removed=101; output=6fgb_trimmed_mhc.pdb
[SAVED] 6LA6: non-problematic trimmed; trimmed_removed=92; output=6la6_trimmed_mhc.pdb
[SAVED] 6QIP: non-problematic trimmed; trimmed_removed=100; output=6qip_trimmed_mhc.pdb
[SAVED] 6ILM: non-problematic trimmed; trimmed_removed=93; output=6ilm_trimmed_mhc.pdb
[MHC_AUTO] 4WO4: [274] -> chain H
[SAVED] 4WO4: action=auto_non_aminoacid_only; new_ligand_chains=['H']; moved=1; trimmed_removed=173; output=4wo4_trimmed_mhc.pdb
[SAVED] 1JE6: non-problematic trimmed; trimmed_removed=105; output=1je6_trimmed_mhc.pdb
[SAVED] 8TM0: non-problematic trimmed; trimmed_removed=3; output=8tm0_trimmed_mhc.pdb
[SAVED] 5WHK: non-problematic trimmed; trimmed_removed=167; output=5whk_trimmed_mhc.pdb
[MHC_AUTO] 6V7Y: [273] -> chain F
[SAVED] 6V7Y: action=auto_non_aminoacid_only; new_ligand_chains=['F']; moved=1; trimmed_removed=214; output=6v7y_trimmed_mhc.pdb
[SAVED] 3M17: non-problematic trimmed; trimmed_removed=109; output=3m17_trimmed_mhc.pdb
[SAVED] 8TM2: non-problematic trimmed; trimmed_removed=10; output=8tm2_trimmed_mhc.pdb
[SAVED] 5BXF: non-problematic trimmed; trimmed_removed=94; output=5bxf_trimmed_mhc.pdb
[DUPLICATES] 8SOS: removed_chains=['B']
[MHC_AUTO] 8SOS: [269] -> chain B
[SAVED] 8SOS: action=auto_non_aminoacid_only; new_ligand_chains=['B']; moved=1; trimmed_removed=259; output=8sos_trimmed_mhc.pdb
[SAVED] 4K71: non-problematic trimmed; trimmed_removed=124; output=4k71_trimmed_mhc.pdb
[MHC_AUTO] 3SDX: [276] -> chain E
[SAVED] 3SDX: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=119; output=3sdx_trimmed_mhc.pdb
[MHC_AUTO] 1ONQ: [276] -> chain F
[SAVED] 1ONQ: action=auto_non_aminoacid_only; new_ligand_chains=['F']; moved=1; trimmed_removed=319; output=1onq_trimmed_mhc.pdb
[SAVED] 1EXU: non-problematic trimmed; trimmed_removed=124; output=1exu_trimmed_mhc.pdb
[SAVED] 6LA7: non-problematic trimmed; trimmed_removed=94; output=6la7_trimmed_mhc.pdb
[MHC_AUTO] 7MXF: [279] -> chain C
[MHC_AUTO] 7MXF: [281] -> chain D
[SAVED] 7MXF: action=auto_non_aminoacid_only; new_ligand_chains=['C', 'D']; moved=2; trimmed_removed=205; output=7mxf_trimmed_mhc.pdb
[SAVED] 8TLZ: non-problematic trimmed; trimmed_removed=25; output=8tlz_trimmed_mhc.pdb
[SAVED] 3M1B: non-problematic trimmed; trimmed_removed=97; output=3m1b_trimmed_mhc.pdb
[MHC_AUTO] 7MX4: [281] -> chain C
[MHC_AUTO] 7MX4: [279] -> chain D
[SAVED] 7MX4: action=auto_non_aminoacid_only; new_ligand_chains=['C', 'D']; moved=2; trimmed_removed=269; output=7mx4_trimmed_mhc.pdb
[SAVED] 7C9V: non-problematic trimmed; trimmed_removed=94; output=7c9v_trimmed_mhc.pdb
[SAVED] 1KCG: non-problematic trimmed; trimmed_removed=52; output=1kcg_trimmed_mhc.pdb
[SAVED] 4S0U: non-problematic trimmed; trimmed_removed=30; output=4s0u_trimmed_mhc.pdb
[SAVED] 1B3J: non-problematic trimmed; trimmed_removed=151; output=1b3j_trimmed_mhc.pdb
[MHC_AUTO] 3U0P: [274] -> chain D
[SAVED] 3U0P: action=auto_non_aminoacid_only; new_ligand_chains=['D']; moved=1; trimmed_removed=161; output=3u0p_trimmed_mhc.pdb
[MHC_AUTO] 1XZ0: [272] -> chain D
[SAVED] 1XZ0: action=auto_non_aminoacid_only; new_ligand_chains=['D']; moved=1; trimmed_removed=106; output=1xz0_trimmed_mhc.pdb
[MHC_AUTO] 4WW2: [278] -> chain E
[SAVED] 4WW2: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=153; output=4ww2_trimmed_mhc.pdb
[MHC_AUTO] 6V7Z: [277] -> chain F
[SAVED] 6V7Z: action=auto_non_aminoacid_only; new_ligand_chains=['F']; moved=1; trimmed_removed=115; output=6v7z_trimmed_mhc.pdb
[MHC_AUTO] 8DV4: [278] -> chain E
[SAVED] 8DV4: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=187; output=8dv4_trimmed_mhc.pdb
[MHC_AUTO] 4LHU: [276] -> chain G
[SAVED] 4LHU: action=auto_non_aminoacid_only; new_ligand_chains=['G']; moved=1; trimmed_removed=146; output=4lhu_trimmed_mhc.pdb
[MHC_AUTO] 8SGM: [274] -> chain G
[SAVED] 8SGM: action=auto_non_aminoacid_only; new_ligand_chains=['G']; moved=1; trimmed_removed=193; output=8sgm_trimmed_mhc.pdb
[MHC_AUTO] 3HUJ: [277] -> chain F
[SAVED] 3HUJ: action=auto_non_aminoacid_only; new_ligand_chains=['F']; moved=1; trimmed_removed=198; output=3huj_trimmed_mhc.pdb
[MHC_AUTO] 6SNY: [170] -> chain F
[SAVED] 6SNY: action=auto_non_aminoacid_only; new_ligand_chains=['F']; moved=1; trimmed_removed=3; output=6sny_trimmed_mhc.pdb
[MHC_AUTO] 8DV3: [293] -> chain E
[MHC_AUTO] 8DV3: [286] -> chain F
[SAVED] 8DV3: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=337; output=8dv3_trimmed_mhc.pdb
[SKIPPED] 8SOS: already present in 2_trimmed_mhc
[SAVED] 3D2U: non-problematic trimmed; trimmed_removed=200; output=3d2u_trimmed_mhc.pdb
[MHC_AUTO] 3VWK: [252] -> chain E
[SAVED] 3VWK: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=89; output=3vwk_trimmed_mhc.pdb
[MHC_AUTO] 7RYO: [280] -> chain E
[SAVED] 7RYO: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=104; output=7ryo_trimmed_mhc.pdb
[MHC_AUTO] 3TZV: [264] -> chain F
[SAVED] 3TZV: action=auto_non_aminoacid_only; new_ligand_chains=['F']; moved=1; trimmed_removed=93; output=3tzv_trimmed_mhc.pdb
[MHC_AUTO] 1L8J: [171] -> chain E
[SAVED] 1L8J: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=111; output=1l8j_trimmed_mhc.pdb
[SAVED] 7FI9: non-problematic trimmed; trimmed_removed=178; output=7fi9_trimmed_mhc.pdb
[MHC_AUTO] 7RYN: [272] -> chain E
[SAVED] 7RYN: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=116; output=7ryn_trimmed_mhc.pdb
[MHC_AUTO] 8GLE: [282] -> chain E
[MHC_AUTO] 8GLE: [281] -> chain F
[SAVED] 8GLE: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=337; output=8gle_trimmed_mhc.pdb
[MHC_AUTO] 4MNG: [277] -> chain D
[SAVED] 4MNG: action=auto_non_aminoacid_only; new_ligand_chains=['D']; moved=1; trimmed_removed=106; output=4mng_trimmed_mhc.pdb
[MHC_AUTO] 7MXH: [285] -> chain C
[MHC_AUTO] 7MXH: [283] -> chain D
[SAVED] 7MXH: action=auto_non_aminoacid_only; new_ligand_chains=['C', 'D']; moved=2; trimmed_removed=196; output=7mxh_trimmed_mhc.pdb
[SAVED] 7FI6: non-problematic trimmed; trimmed_removed=100; output=7fi6_trimmed_mhc.pdb
[MHC_AUTO] 8GLF: [284] -> chain E
[MHC_AUTO] 8GLF: [283] -> chain F
[SAVED] 8GLF: action=auto_non_aminoacid_only; new_ligand_chains=['E', 'F']; moved=2; trimmed_removed=280; output=8glf_trimmed_mhc.pdb
[MHC_AUTO] 5L2J: [287] -> chain D
[MHC_AUTO] 5L2J: [281] -> chain E
[SAVED] 5L2J: action=auto_non_aminoacid_only; new_ligand_chains=['D', 'E']; moved=2; trimmed_removed=362; output=5l2j_trimmed_mhc.pdb
[MHC_AUTO] 4EN3: [261] -> chain E
[SAVED] 4EN3: action=auto_non_aminoacid_only; new_ligand_chains=['E']; moved=1; trimmed_removed=120; output=4en3_trimmed_mhc.pdb
[MHC_AUTO] 7KP1: [275] -> chain C
